PO	B	E	H	L	M	R	T
28	0.0	0.0	0.125	0.1875	0.0	0.5625	0.125
29	0.0	0.0	0.125	0.3125	0.0	0.5625	0.0
30	0.0	0.117647058824	0.117647058824	0.235294117647	0.0588235294118	0.470588235294	0.0
31	0.117647058824	0.0588235294118	0.117647058824	0.176470588235	0.0588235294118	0.470588235294	0.0
32	0.0	0.0588235294118	0.117647058824	0.235294117647	0.0	0.588235294118	0.0
33	0.0	0.0588235294118	0.117647058824	0.235294117647	0.0	0.588235294118	0.0
34	0.0	0.294117647059	0.117647058824	0.470588235294	0.0	0.0	0.117647058824
35	0.0	0.333333333333	0.111111111111	0.444444444444	0.0	0.0	0.111111111111
36	0.0	0.222222222222	0.111111111111	0.555555555556	0.0	0.111111111111	0.0
37	0.0	0.166666666667	0.0	0.611111111111	0.0	0.222222222222	0.0
38	0.0	0.111111111111	0.0	0.666666666667	0.0	0.222222222222	0.0
39	0.0	0.111111111111	0.0	0.666666666667	0.0	0.111111111111	0.111111111111
40	0.0	0.157894736842	0.0	0.315789473684	0.0	0.105263157895	0.421052631579
41	0.0	0.157894736842	0.0	0.578947368421	0.0526315789474	0.105263157895	0.105263157895
42	0.368421052632	0.157894736842	0.0	0.315789473684	0.0526315789474	0.0	0.105263157895
43	0.0	0.157894736842	0.0	0.578947368421	0.0526315789474	0.210526315789	0.0
44	0.0	0.0	0.0	0.578947368421	0.0526315789474	0.210526315789	0.157894736842
45	0.0	0.0	0.0	0.8	0.0	0.1	0.1
46	0.0	0.0	0.0	0.8	0.0	0.2	0.0
47	0.0	0.0	0.0	0.8	0.0	0.2	0.0
48	0.0	0.05	0.0	0.6	0.25	0.1	0.0
49	0.0	0.05	0.0	0.6	0.25	0.1	0.0
50	0.0	0.0	0.0	0.65	0.25	0.1	0.0
51	0.0	0.0	0.0	0.65	0.25	0.1	0.0
52	0.0	0.0	0.0	0.65	0.25	0.1	0.0
53	0.0	0.0	0.6	0.05	0.25	0.1	0.0
54	0.0	0.0	0.6	0.3	0.0	0.1	0.0
55	0.0	0.05	0.6	0.35	0.0	0.0	0.0
56	0.0	0.05	0.6	0.05	0.05	0.0	0.25
57	0.05	0.05	0.6	0.25	0.05	0.0	0.0
58	0.0	0.05	0.0	0.35	0.0	0.6	0.0
59	0.0	0.05	0.0	0.35	0.0	0.6	0.0
60	0.0	0.05	0.25	0.05	0.05	0.6	0.0
61	0.0	0.05	0.25	0.05	0.05	0.6	0.0
62	0.0	0.05	0.25	0.0	0.1	0.6	0.0
63	0.55	0.1	0.25	0.0	0.1	0.0	0.0
64	0.0	0.1	0.0	0.0	0.1	0.8	0.0
65	0.0	0.1	0.0	0.05	0.05	0.8	0.0
66	0.0	0.05	0.0	0.1	0.05	0.8	0.0
67	0.0	0.0	0.0	0.25	0.05	0.3	0.4
68	0.15	0.05	0.0	0.35	0.05	0.25	0.15
69	0.0	0.05	0.0	0.35	0.05	0.55	0.0
70	0.0	0.05	0.0	0.35	0.3	0.3	0.0
71	0.0	0.05	0.0	0.3	0.3	0.3	0.05
72	0.0	0.05	0.0	0.1	0.3	0.0	0.55
73	0.0	0.05	0.0	0.25	0.35	0.3	0.05
74	0.0	0.05	0.0	0.25	0.35	0.3	0.05
75	0.0	0.1	0.0	0.0	0.35	0.25	0.3
76	0.0	0.0	0.0	0.55	0.25	0.2	0.0
77	0.0	0.05	0.0	0.8	0.0	0.15	0.0
78	0.0	0.05	0.0	0.8	0.0	0.15	0.0
79	0.0	0.2	0.0	0.8	0.0	0.0	0.0
80	0.0	0.2	0.0	0.8	0.0	0.0	0.0
81	0.0	0.2	0.8	0.0	0.0	0.0	0.0
82	0.0	0.2	0.8	0.0	0.0	0.0	0.0
83	0.0	0.2	0.8	0.0	0.0	0.0	0.0
84	0.0	0.2	0.8	0.0	0.0	0.0	0.0
85	0.0	0.1	0.8	0.1	0.0	0.0	0.0
86	0.0	0.1	0.8	0.1	0.0	0.0	0.0
87	0.0	0.1	0.0	0.1	0.0	0.8	0.0
88	0.0	0.1	0.1	0.0	0.0	0.8	0.0
89	0.0	0.1	0.1	0.0	0.0	0.8	0.0
90	0.0	0.1	0.1	0.0	0.0	0.8	0.0
91	0.0	0.1	0.1	0.0	0.0	0.8	0.0
92	0.0	0.25	0.1	0.0	0.05	0.25	0.35
93	0.0	0.25	0.1	0.0	0.05	0.25	0.35
94	0.0	0.15	0.0	0.1	0.05	0.35	0.35
95	0.0	0.15	0.0	0.1	0.05	0.4	0.3
96	0.0	0.15	0.0	0.0	0.05	0.6	0.2
97	0.0	0.1	0.0	0.25	0.05	0.6	0.0
98	0.0	0.1	0.0	0.25	0.05	0.35	0.25
99	0.0	0.1	0.0	0.25	0.05	0.6	0.0
100	0.0	0.1	0.0	0.1	0.05	0.6	0.15
101	0.0	0.1	0.0	0.1	0.05	0.6	0.15
102	0.0	0.15	0.0	0.3	0.1	0.45	0.0
103	0.0	0.25	0.0	0.2	0.2	0.35	0.0
104	0.2	0.05	0.0	0.75	0.0	0.0	0.0
105	0.0	0.05	0.0	0.75	0.0	0.2	0.0
106	0.0	0.05	0.0	0.75	0.0	0.2	0.0
107	0.0	0.05	0.0	0.75	0.0	0.15	0.05
108	0.0	0.1	0.0	0.55	0.0	0.15	0.2
109	0.0	0.1	0.55	0.0	0.0	0.15	0.2
110	0.0	0.1	0.55	0.0	0.0	0.0	0.35
111	0.0	0.1	0.55	0.0	0.0	0.15	0.2
112	0.0	0.1	0.55	0.2	0.0	0.15	0.0
113	0.0	0.15	0.55	0.2	0.0	0.1	0.0
114	0.0	0.1	0.0	0.3	0.0	0.55	0.05
115	0.0	0.1	0.0	0.3	0.0	0.55	0.05
116	0.0	0.1	0.0	0.3	0.0	0.55	0.05
117	0.0	0.1	0.0	0.1	0.0	0.6	0.2
118	0.0	0.1	0.0	0.1	0.0	0.6	0.2
119	0.0	0.45	0.05	0.05	0.15	0.0	0.3
120	0.0	0.45	0.1	0.2	0.15	0.0	0.1
121	0.0	0.45	0.1	0.2	0.15	0.0	0.1
122	0.0	0.45	0.1	0.2	0.15	0.0	0.1
123	0.0	0.45	0.05	0.0	0.15	0.05	0.3
124	0.0	0.45	0.0	0.0	0.15	0.1	0.3
125	0.0	0.25	0.0	0.5	0.05	0.1	0.1
126	0.0	0.2	0.0	0.6	0.0	0.1	0.1
127	0.0	0.2	0.0	0.6	0.0	0.1	0.1
128	0.0	0.2	0.0	0.6	0.0	0.1	0.1
129	0.0	0.3	0.0	0.45	0.0	0.0	0.25
130	0.0	0.3	0.45	0.0	0.0	0.0	0.25
131	0.0	0.3	0.45	0.0	0.0	0.0	0.25
132	0.0	0.3	0.45	0.0	0.0	0.0	0.25
133	0.0	0.15	0.0	0.3	0.0	0.45	0.1
134	0.0	0.15	0.0	0.3	0.0	0.45	0.1
135	0.45	0.1	0.0	0.35	0.0	0.0	0.1
136	0.0	0.1	0.0	0.35	0.0	0.45	0.1
137	0.0	0.1	0.0	0.0	0.0	0.45	0.45
138	0.0	0.1	0.0	0.4	0.05	0.35	0.1
139	0.0	0.15	0.0	0.4	0.1	0.1	0.25
140	0.0	0.15	0.0	0.4	0.1	0.1	0.25
141	0.0	0.15	0.0	0.05	0.05	0.05	0.7
142	0.0	0.1	0.0	0.55	0.0	0.1	0.25
143	0.0	0.1	0.0	0.55	0.0	0.05	0.3
144	0.0	0.1	0.0	0.55	0.0	0.25	0.1
145	0.0	0.05	0.0	0.5	0.0	0.3	0.15
146	0.0	0.05	0.0	0.6	0.0	0.3	0.05
147	0.0	0.05	0.0	0.15	0.0	0.15	0.65
148	0.0	0.1	0.0	0.5	0.0	0.1	0.3
149	0.0	0.1	0.0	0.55	0.0	0.3	0.05
150	0.0	0.1	0.0	0.5	0.0	0.3	0.1
151	0.2	0.15	0.05	0.55	0.0	0.05	0.0
152	0.0	0.15	0.05	0.55	0.0	0.25	0.0
153	0.0	0.2	0.05	0.55	0.0	0.2	0.0
154	0.0	0.2	0.05	0.55	0.0	0.2	0.0
155	0.0	0.2	0.15	0.0	0.0	0.0	0.65
156	0.0	0.2	0.15	0.45	0.0	0.0	0.2
157	0.0	0.15	0.15	0.5	0.0	0.0	0.2
158	0.0	0.15	0.15	0.5	0.0	0.2	0.0
159	0.0	0.15	0.1	0.45	0.0	0.3	0.0
160	0.0	0.1	0.1	0.5	0.0	0.3	0.0
161	0.0	0.1	0.55	0.05	0.0	0.3	0.0
162	0.0	0.1	0.55	0.05	0.0	0.3	0.0
163	0.0	0.1	0.55	0.05	0.0	0.2	0.1
164	0.0	0.15	0.55	0.0	0.0	0.05	0.25
165	0.0	0.15	0.55	0.0	0.0	0.0	0.3
166	0.0	0.15	0.1	0.05	0.0	0.7	0.0
167	0.0	0.15	0.05	0.05	0.0	0.75	0.0
168	0.0	0.1	0.05	0.1	0.0	0.65	0.1
169	0.0	0.15	0.05	0.1	0.0	0.6	0.1
170	0.0	0.15	0.05	0.05	0.0	0.7	0.05
171	0.0	0.15	0.05	0.0	0.05	0.25	0.5
172	0.0	0.25	0.05	0.0	0.05	0.1	0.55
173	0.0	0.3	0.05	0.0	0.05	0.0	0.6
174	0.0	0.3	0.05	0.0	0.05	0.0	0.6
175	0.0	0.3	0.05	0.0	0.05	0.0	0.6
176	0.0	0.3	0.05	0.0	0.05	0.0	0.6
177	0.0	0.3	0.05	0.0	0.05	0.0	0.6
178	0.0	0.3	0.05	0.0	0.05	0.0	0.6
179	0.0	0.3	0.05	0.0	0.05	0.55	0.05
180	0.0	0.3	0.05	0.05	0.05	0.55	0.0
181	0.0	0.25	0.05	0.15	0.0	0.55	0.0
182	0.0	0.25	0.05	0.15	0.0	0.55	0.0
183	0.0	0.25	0.05	0.15	0.0	0.55	0.0
184	0.0	0.25	0.2	0.0	0.0	0.55	0.0
185	0.0	0.35	0.2	0.0	0.0	0.45	0.0
186	0.0	0.35	0.2	0.0	0.0	0.0	0.45
187	0.0	0.35	0.2	0.0	0.0	0.45	0.0
188	0.0	0.35	0.2	0.0	0.0	0.45	0.0
189	0.0	0.35	0.2	0.0	0.0	0.45	0.0
190	0.0	0.315789473684	0.0526315789474	0.0	0.0	0.631578947368	0.0
191	0.0	0.315789473684	0.0526315789474	0.0	0.0	0.631578947368	0.0
192	0.0	0.368421052632	0.0526315789474	0.0	0.0	0.157894736842	0.421052631579
193	0.0	0.421052631579	0.0	0.0	0.0526315789474	0.526315789474	0.0
194	0.0	0.421052631579	0.0	0.0	0.0526315789474	0.473684210526	0.0526315789474
195	0.0	0.444444444444	0.0	0.0	0.0555555555556	0.444444444444	0.0555555555556
196	0.0	0.5	0.0	0.0	0.0555555555556	0.0	0.444444444444
197	0.0	0.5	0.0	0.0	0.0555555555556	0.388888888889	0.0555555555556
198	0.0	0.5	0.0	0.0	0.0555555555556	0.388888888889	0.0555555555556
199	0.0	0.555555555556	0.0	0.0	0.0555555555556	0.333333333333	0.0555555555556
200	0.0	0.529411764706	0.0	0.0	0.0588235294118	0.352941176471	0.0588235294118
201	0.0	0.705882352941	0.0	0.0	0.0588235294118	0.0	0.235294117647
202	0.0	0.705882352941	0.0	0.0	0.0588235294118	0.0	0.235294117647
203	0.0	0.705882352941	0.0	0.0	0.0588235294118	0.0588235294118	0.176470588235
204	0.0	0.705882352941	0.0	0.0	0.0588235294118	0.0588235294118	0.176470588235
205	0.0	0.6875	0.0	0.0	0.0625	0.25	0.0
206	0.0	0.6875	0.0	0.0	0.0625	0.25	0.0
207	0.0	0.6875	0.0	0.0	0.0625	0.1875	0.0625
208	0.0	0.6875	0.0	0.0	0.0625	0.25	0.0
209	0.0	0.75	0.0	0.125	0.0625	0.0625	0.0
210	0.0	0.733333333333	0.0	0.133333333333	0.0666666666667	0.0666666666667	0.0
211	0.0	0.733333333333	0.133333333333	0.0	0.0666666666667	0.0666666666667	0.0
212	0.0	0.8	0.133333333333	0.0	0.0666666666667	0.0	0.0
213	0.0	0.8	0.133333333333	0.0	0.0666666666667	0.0	0.0
214	0.0	0.8	0.133333333333	0.0	0.0666666666667	0.0	0.0
215	0.0	0.0714285714286	0.0	0.785714285714	0.0	0.142857142857	0.0
216	0.0	0.0	0.0	0.857142857143	0.0	0.142857142857	0.0
217	0.0	0.142857142857	0.0	0.857142857143	0.0	0.0	0.0
218	0.0	0.142857142857	0.0	0.857142857143	0.0	0.0	0.0
219	0.0	0.142857142857	0.0	0.857142857143	0.0	0.0	0.0
220	0.0	0.0769230769231	0.0	0.923076923077	0.0	0.0	0.0
221	0.0	0.0769230769231	0.923076923077	0.0	0.0	0.0	0.0
222	0.0	0.0769230769231	0.923076923077	0.0	0.0	0.0	0.0
223	0.0	0.0769230769231	0.923076923077	0.0	0.0	0.0	0.0
224	0.0	0.0769230769231	0.923076923077	0.0	0.0	0.0	0.0
225	0.0	0.0	0.0	0.0	0.0	1.0	0.0
226	0.0	0.0	0.0	0.0	0.0	1.0	0.0
227	0.0	0.0	0.0	0.0	0.0	1.0	0.0
228	0.0	0.0	0.0	0.0	0.0	1.0	0.0
229	0.0	0.0	0.0	0.0	0.0	1.0	0.0
230	0.0	0.0	0.0	0.0	0.0	1.0	0.0
231	0.0	0.909090909091	0.0	0.0	0.0	0.0	0.0909090909091
232	0.0	0.909090909091	0.0	0.0	0.0	0.0909090909091	0.0
233	0.0	0.909090909091	0.0	0.0	0.0	0.0909090909091	0.0
234	0.0	0.909090909091	0.0	0.0	0.0	0.0909090909091	0.0
235	0.0	1.0	0.0	0.0	0.0	0.0	0.0
